company_id,NAME OF COMPANY,company_code,Exchange,Marker,validation_status,validated_at
56,Aether Industries Limited,AETHER,NSE,EQ,SUCCESS,2025-12-02T20:23:54.764802+00:00
57,Afcons Infrastructure Limited,AFCONS,NSE,EQ,SUCCESS,2025-12-02T20:23:55.607633+00:00
58,Affle (India) Limited,AFFLE,NSE,EQ,SUCCESS,2025-12-02T20:23:56.307070+00:00
59,Affordable Robotic & Automation Limited,AFFORDABLE,NSE,EQ,SUCCESS,2025-12-02T20:23:57.061169+00:00
60,Akme Fintrade (India) Limited,AFIL,NSE,EQ,SUCCESS,2025-12-02T20:23:57.747980+00:00
61,Agarwal Industrial Corporation Limited,AGARIND,NSE,EQ,SUCCESS,2025-12-02T20:24:48.599222+00:00
62,Dr. Agarwal's Health Care Limited,AGARWALEYE,NSE,EQ,SUCCESS,2025-12-02T20:24:49.454278+00:00
63,AGI Greenpac Limited,AGI,NSE,EQ,SUCCESS,2025-12-02T20:24:50.244661+00:00
64,Agi Infra Limited,AGIIL,NSE,EQ,SUCCESS,2025-12-02T20:24:51.014822+00:00
65,Agri-Tech (India) Limited,AGRITECH,NSE,EQ,SUCCESS,2025-12-02T20:24:51.808255+00:00
66,Agro Phos India Limited,AGROPHOS,NSE,EQ,SUCCESS,2025-12-02T20:24:52.611851+00:00
67,AGS Transact Technologies Limited,AGSTRA,NSE,EQ,SUCCESS,2025-12-02T20:24:53.462525+00:00
68,Abans Holdings Limited,AHL,NSE,EQ,SUCCESS,2025-12-02T20:24:54.412834+00:00
69,Ahlada Engineers Limited,AHLADA,NSE,EQ,SUCCESS,2025-12-02T20:24:55.279366+00:00
70,Asian Hotels (East) Limited,AHLEAST,NSE,EQ,SUCCESS,2025-12-02T20:24:56.135627+00:00
71,Ahluwalia Contracts (India) Limited,AHLUCONT,NSE,EQ,SUCCESS,2025-12-02T20:25:48.547522+00:00
72,AIA Engineering Limited,AIAENG,NSE,EQ,SUCCESS,2025-12-02T20:25:49.227368+00:00
73,Authum Investment & Infrastructure Limited,AIIL,NSE,EQ,SUCCESS,2025-12-02T20:25:50.028148+00:00
74,Airan Limited,AIRAN,NSE,EQ,SUCCESS,2025-12-02T20:25:50.829358+00:00
75,Airo Lam limited,AIROLAM,NSE,EQ,SUCCESS,2025-12-02T20:25:51.632839+00:00
76,Ajanta Pharma Limited,AJANTPHARM,NSE,EQ,SUCCESS,2025-12-02T20:25:52.312546+00:00
77,Ajax Engineering Limited,AJAXENGG,NSE,EQ,SUCCESS,2025-12-02T20:25:53.077582+00:00
78,Ajmera Realty & Infra India Limited,AJMERA,NSE,EQ,SUCCESS,2025-12-02T20:25:54.043599+00:00
79,Ajooni Biotech Limited,AJOONI,NSE,EQ,SUCCESS,2025-12-02T20:25:54.822776+00:00
80,Akash Infra-Projects Limited,AKASH,NSE,EQ,SUCCESS,2025-12-02T20:25:55.649805+00:00
81,Akg Exim Limited,AKG,NSE,EQ,SUCCESS,2025-12-02T20:26:48.629097+00:00
82,AKI India Limited,AKI,NSE,EQ,SUCCESS,2025-12-02T20:26:49.411487+00:00
83,Akshar Spintex Limited,AKSHAR,NSE,EQ,SUCCESS,2025-12-02T20:26:50.188340+00:00
