company_code,avg_daily_high_low_range,avg_daily_volume,avg_trading_capital,instrument_token,tradingsymbol,name,exchange
2955,6.96127308680475724790,22353730.800000000000,12111357243.77500000,756481,KALYANKJIL,KALYAN JEWELLERS IND,NSE
19585,5.24230377747259599650,2147206.500000000000,11693857868.80500000,5013761,BSE,BSE,NSE
10604,3.01386922348941073060,6911231.200000000000,11476234362.46000000,2714625,BHARTIARTL,BHARTI AIRTEL,NSE
5097,4.15256276148238892340,50692164.700000000000,11437428969.97700000,1304833,ZOMATO,ZOMATO,NSE
509,5.70257852059927256650,5117698.200000000000,11259823337.91000000,130305,MAZDOCK,MAZAGON DOCK SHIPBUIL,NSE
