company_id,NAME OF COMPANY,company_code,Exchange,Marker,validation_status,validated_at
56,Aether Industries Limited,AETHER,NSE,EQ,SUCCESS,2025-12-11T07:14:17.222781+00:00
57,Afcons Infrastructure Limited,AFCONS,NSE,EQ,SUCCESS,2025-12-11T07:14:17.372599+00:00
58,Affle (India) Limited,AFFLE,NSE,EQ,SUCCESS,2025-12-11T07:14:17.502560+00:00
59,Affordable Robotic & Automation Limited,AFFORDABLE,NSE,EQ,SUCCESS,2025-12-11T07:14:17.678056+00:00
60,Akme Fintrade (India) Limited,AFIL,NSE,EQ,SUCCESS,2025-12-11T07:14:17.812580+00:00
61,Agarwal Industrial Corporation Limited,AGARIND,NSE,EQ,SUCCESS,2025-12-11T07:15:16.500548+00:00
62,Dr. Agarwal's Health Care Limited,AGARWALEYE,NSE,EQ,SUCCESS,2025-12-11T07:15:16.631390+00:00
63,AGI Greenpac Limited,AGI,NSE,EQ,SUCCESS,2025-12-11T07:15:16.765745+00:00
64,Agi Infra Limited,AGIIL,NSE,EQ,SUCCESS,2025-12-11T07:15:16.922596+00:00
65,Agri-Tech (India) Limited,AGRITECH,NSE,EQ,SUCCESS,2025-12-11T07:15:17.057494+00:00
66,Agro Phos India Limited,AGROPHOS,NSE,EQ,SUCCESS,2025-12-11T07:15:17.187909+00:00
67,AGS Transact Technologies Limited,AGSTRA,NSE,EQ,SUCCESS,2025-12-11T07:15:17.323405+00:00
68,Abans Holdings Limited,AHL,NSE,EQ,SUCCESS,2025-12-11T07:15:17.466512+00:00
69,Ahlada Engineers Limited,AHLADA,NSE,EQ,SUCCESS,2025-12-11T07:15:17.618946+00:00
70,Asian Hotels (East) Limited,AHLEAST,NSE,EQ,SUCCESS,2025-12-11T07:15:17.784260+00:00
71,Ahluwalia Contracts (India) Limited,AHLUCONT,NSE,EQ,SUCCESS,2025-12-11T07:16:16.476165+00:00
72,AIA Engineering Limited,AIAENG,NSE,EQ,SUCCESS,2025-12-11T07:16:16.645633+00:00
73,Authum Investment & Infrastructure Limited,AIIL,NSE,EQ,SUCCESS,2025-12-11T07:16:16.780917+00:00
74,Airan Limited,AIRAN,NSE,EQ,SUCCESS,2025-12-11T07:16:16.909186+00:00
75,Airo Lam limited,AIROLAM,NSE,EQ,SUCCESS,2025-12-11T07:16:17.055048+00:00
76,Ajanta Pharma Limited,AJANTPHARM,NSE,EQ,SUCCESS,2025-12-11T07:16:17.198391+00:00
77,Ajax Engineering Limited,AJAXENGG,NSE,EQ,SUCCESS,2025-12-11T07:16:17.350601+00:00
78,Ajmera Realty & Infra India Limited,AJMERA,NSE,EQ,SUCCESS,2025-12-11T07:16:17.476708+00:00
79,Ajooni Biotech Limited,AJOONI,NSE,EQ,SUCCESS,2025-12-11T07:16:17.629509+00:00
80,Akash Infra-Projects Limited,AKASH,NSE,EQ,SUCCESS,2025-12-11T07:16:17.783949+00:00
81,Akg Exim Limited,AKG,NSE,EQ,SUCCESS,2025-12-11T07:44:04.069091+00:00
82,AKI India Limited,AKI,NSE,EQ,SUCCESS,2025-12-11T07:44:04.201798+00:00
83,Akshar Spintex Limited,AKSHAR,NSE,EQ,SUCCESS,2025-12-11T07:44:04.328991+00:00
84,AksharChem India Limited,AKSHARCHEM,NSE,EQ,SUCCESS,2025-12-11T07:44:04.479829+00:00
85,Aksh Optifibre Limited,AKSHOPTFBR,NSE,EQ,SUCCESS,2025-12-11T07:44:04.615140+00:00
86,Akums Drugs and Pharmaceuticals Limited,AKUMS,NSE,EQ,SUCCESS,2025-12-11T07:44:04.807693+00:00
87,Akzo Nobel India Limited,AKZOINDIA,NSE,EQ,SUCCESS,2025-12-11T07:44:04.958805+00:00
88,Alankit Limited,ALANKIT,NSE,EQ,SUCCESS,2025-12-11T07:44:05.109314+00:00
89,Albert David Limited,ALBERTDAVD,NSE,EQ,SUCCESS,2025-12-11T07:44:05.271536+00:00
90,Alembic Limited,ALEMBICLTD,NSE,EQ,SUCCESS,2025-12-11T07:44:05.407823+00:00
91,Alicon Castalloy Limited,ALICON,NSE,EQ,SUCCESS,2025-12-11T07:45:04.007674+00:00
92,Alivus Life Sciences Limited,ALIVUS,NSE,EQ,SUCCESS,2025-12-11T07:45:04.158142+00:00
93,Alkali Metals Limited,ALKALI,NSE,EQ,SUCCESS,2025-12-11T07:45:04.288699+00:00
94,Alkem Laboratories Limited,ALKEM,NSE,EQ,SUCCESS,2025-12-11T07:45:04.468533+00:00
95,Alkyl Amines Chemicals Limited,ALKYLAMINE,NSE,EQ,SUCCESS,2025-12-11T07:45:04.620522+00:00
96,Allcargo Logistics Limited,ALLCARGO,NSE,EQ,SUCCESS,2025-12-11T07:45:04.775854+00:00
97,Alldigi Tech Limited,ALLDIGI,NSE,EQ,SUCCESS,2025-12-11T07:45:04.939405+00:00
98,Almondz Global Securities Limited,ALMONDZ,NSE,EQ,SUCCESS,2025-12-11T07:45:05.126836+00:00
99,Alok Industries Limited,ALOKINDS,NSE,EQ,SUCCESS,2025-12-11T07:45:05.260784+00:00
100,Alpa Laboratories Limited,ALPA,NSE,EQ,SUCCESS,2025-12-11T07:45:05.387069+00:00
101,Alphageo (India) Limited,ALPHAGEO,NSE,EQ,SUCCESS,2025-12-11T07:46:04.051260+00:00
102,Alps Industries Limited,ALPSINDUS,NSE,EQ,SUCCESS,2025-12-11T07:46:04.189419+00:00
103,Amber Enterprises India Limited,AMBER,NSE,EQ,SUCCESS,2025-12-11T07:46:04.320427+00:00
104,Ambica Agarbathies & Aroma industries Limited,AMBICAAGAR,NSE,EQ,SUCCESS,2025-12-11T07:46:04.462847+00:00
105,Ambika Cotton Mills Limited,AMBIKCO,NSE,EQ,SUCCESS,2025-12-11T07:46:04.581628+00:00
106,Ambuja Cements Limited,AMBUJACEM,NSE,EQ,SUCCESS,2025-12-11T07:46:04.724434+00:00
107,AMD Industries Limited,AMDIND,NSE,EQ,SUCCESS,2025-12-11T07:46:04.858623+00:00
108,Ami Organics Limited,AMIORG,NSE,EQ,SUCCESS,2025-12-11T07:46:05.010177+00:00
109,Amj Land Holdings Limited,AMJLAND,NSE,EQ,SUCCESS,2025-12-11T07:46:05.162047+00:00
110,Amines & Plasticizers Limited,AMNPLST,NSE,EQ,SUCCESS,2025-12-11T07:46:05.313891+00:00
111,Amrutanjan Health Care Limited,AMRUTANJAN,NSE,EQ,SUCCESS,2025-12-11T07:47:04.029447+00:00
112,Anand Rathi Wealth Limited,ANANDRATHI,NSE,EQ,SUCCESS,2025-12-11T07:47:04.183598+00:00
113,Anant Raj Limited,ANANTRAJ,NSE,EQ,SUCCESS,2025-12-11T07:47:04.316061+00:00
114,ANDHRA PAPER LIMITED,ANDHRAPAP,NSE,EQ,SUCCESS,2025-12-11T07:47:04.444477+00:00
115,The Andhra Sugars Limited,ANDHRSUGAR,NSE,EQ,SUCCESS,2025-12-11T07:47:04.572827+00:00
116,Angel One Limited,ANGELONE,NSE,EQ,SUCCESS,2025-12-11T07:47:04.763324+00:00
117,Anik Industries Limited,ANIKINDS,NSE,EQ,SUCCESS,2025-12-11T07:47:04.901552+00:00
118,Ankit Metal & Power Limited,ANKITMETAL,NSE,EQ,SUCCESS,2025-12-11T07:47:05.056157+00:00
119,Anmol India Limited,ANMOL,NSE,EQ,SUCCESS,2025-12-11T07:47:05.185883+00:00
120,Ansal Properties & Infrastructure Limited,ANSALAPI,NSE,EQ,SUCCESS,2025-12-11T07:47:05.350936+00:00
121,Antarctica Limited,ANTGRAPHIC,NSE,EQ,SUCCESS,2025-12-11T07:48:04.036786+00:00
122,Anuh Pharma Limited,ANUHPHR,NSE,EQ,SUCCESS,2025-12-11T07:48:04.190408+00:00
123,The Anup Engineering Limited,ANUP,NSE,EQ,SUCCESS,2025-12-11T07:48:04.320772+00:00
124,Anupam Rasayan India Limited,ANURAS,NSE,EQ,SUCCESS,2025-12-11T07:48:04.451502+00:00
125,Apar Industries Limited,APARINDS,NSE,EQ,SUCCESS,2025-12-11T07:48:04.584212+00:00
126,Anjani Portland Cement Limited,APCL,NSE,EQ,SUCCESS,2025-12-11T07:48:04.723730+00:00
127,Apcotex Industries Limited,APCOTEXIND,NSE,EQ,SUCCESS,2025-12-11T07:48:04.875825+00:00
128,Apex Frozen Foods Limited,APEX,NSE,EQ,SUCCESS,2025-12-11T07:48:05.024844+00:00
129,APL Apollo Tubes Limited,APLAPOLLO,NSE,EQ,SUCCESS,2025-12-11T07:48:05.164239+00:00
130,Alembic Pharmaceuticals Limited,APLLTD,NSE,EQ,SUCCESS,2025-12-11T07:48:05.318576+00:00
131,Apollo Micro Systems Limited,APOLLO,NSE,EQ,SUCCESS,2025-12-11T07:49:04.094101+00:00
132,Apollo Hospitals Enterprise Limited,APOLLOHOSP,NSE,EQ,SUCCESS,2025-12-11T07:49:04.226920+00:00
133,Apollo Pipes Limited,APOLLOPIPE,NSE,EQ,SUCCESS,2025-12-11T07:49:04.351788+00:00
134,Apollo Tyres Limited,APOLLOTYRE,NSE,EQ,SUCCESS,2025-12-11T07:49:04.506731+00:00
135,Apollo Sindoori Hotels Limited,APOLSINHOT,NSE,EQ,SUCCESS,2025-12-11T07:49:04.653890+00:00
136,Aptech Limited,APTECHT,NSE,EQ,SUCCESS,2025-12-11T07:49:04.783542+00:00
